country,birth_rate,death_rate,life_exp_at_birth,country_code,gdp_per_capita,country_original,continent,country_id
Guinea-Bissau,33.83,14.54,49.87,GNB,1740.896737,Guinea-Bissau,AFRICA,624
Taiwan,8.55,6.97,79.84,TWN,22469.0,Taiwan Province of China,ASIA,158
Moldova,12.21,12.6,70.12,MDA,10314.40965,Moldova,EUROPE,498
Belgium,9.99,10.76,79.92,BEL,48747.67705,Belgium,EUROPE,56
Lesotho,25.92,14.91,52.65,LSO,2639.445825,Lesotho,AFRICA,426
Armenia,13.92,9.3,74.12,ARM,11019.83878,Armenia,EUROPE,51
Solomon Islands,26.33,3.86,74.89,SLB,2551.401066,Solomon Is.,OCEANIA,90
Albania,12.73,6.47,77.96,ALB,11586.86377,Albania,EUROPE,8
Equatorial Guinea,33.83,8.39,63.49,GNQ,32436.5535,Eq. Guinea,AFRICA,226
Burundi,42.33,9.54,59.55,BDI,886.2354167,Burundi,AFRICA,108
Haiti,22.83,7.91,63.18,HTI,2935.219925,Haiti,NORTH AMERICA,332
Rwanda,34.61,9.18,59.26,RWA,1780.144976,Rwanda,AFRICA,646
Macedonia,11.64,9.04,75.8,MKD,14524.1947,Macedonia,EUROPE,807
Djibouti,24.08,7.84,62.4,DJI,4238.944355,Djibouti,AFRICA,262
Belize,25.14,5.95,68.49,BLZ,7323.144701,Belize,NORTH AMERICA,84
El Salvador,16.79,5.67,74.18,SLV,7990.459574,El Salvador,NORTH AMERICA,222
Israel,18.44,5.54,81.28,ISR,37474.84918,Israel,ASIA,376
Slovenia,8.54,11.25,77.83,SVN,33098.94416,Slovenia,EUROPE,705
New Caledonia,15.57,5.45,77.31,NCL,38120.0,New Caledonia,OCEANIA,540
Fiji,19.86,6.0,72.15,FJI,12057.98713,Fiji,OCEANIA,242
Kuwait,20.26,2.16,77.64,KWT,56647.43742,Kuwait,ASIA,414
Swaziland,25.18,13.75,50.54,SWZ,8192.527953,eSwatini,AFRICA,748
Timor-Leste,34.48,6.18,67.39,TLS,3264.56251,Timor-Leste,ASIA,626
"Bahamas, The",15.65,7.0,71.93,BHS,35659.93113,Bahamas,NORTH AMERICA,44
Montenegro,10.59,9.3,74.24,MNE,17674.61841,Montenegro,EUROPE,499
Puerto Rico,10.9,8.51,79.09,PRI,34070.25359,Puerto Rico,NORTH AMERICA,630
Vanuatu,25.69,4.14,72.72,VUT,2984.605124,Vanuatu,OCEANIA,548
Qatar,9.95,1.53,78.38,QAT,95578.26151,Qatar,ASIA,634
"Gambia, The",31.75,7.26,64.36,GMB,2038.802518,Gambia,AFRICA,270
Jamaica,18.41,6.67,73.48,JAM,9438.476912,Jamaica,NORTH AMERICA,388
Lebanon,14.8,4.95,77.22,LBN,16970.43617,Lebanon,ASIA,422
Cyprus,11.44,6.57,78.34,CYP,33207.77071,Cyprus,ASIA,196
West Bank,23.41,3.51,75.69,PSE,5967.073437,Palestine,ASIA,275
Brunei,17.49,3.47,76.77,BRN,64190.82415,Brunei,ASIA,96
Trinidad and Tobago,13.8,8.48,72.29,TTO,28796.55907,Trinidad and Tobago,NORTH AMERICA,780
